"","0326-0401","0402-0408","dif","sign"
"Australia","6931","7261","330","+"
"Austria","3797","3805","8","+"
"Belgium","2095","2004","-91","-"
"Canada","7393","7405","12","+"
"Czechia","2372","2324","-48","-"
"Denmark","2085","1950","-135","-"
"France","9524","9342","-182","-"
"Germany","34347","33954","-393","-"
"Greece","882","892","10","+"
"Hong Kong","7863","7698","-165","-"
"Hungary","1625","1395","-230","-"
"India","2503","2365","-138","-"
"Iran","335","785","450","+"
"Israel","837","809","-28","-"
"Italy","20957","23206","2249","+"
"Japan","16349","16943","594","+"
"Mexico","1411","1505","94","+"
"Netherlands","6955","6406","-549","-"
"Norway","1159","1061","-98","-"
"Poland","9962","9281","-681","-"
"Portugal","2030","1903","-127","-"
"Romania","1221","1176","-45","-"
"South Africa","840","773","-67","-"
"South Korea","3500","3236","-264","-"
"Spain","8664","8530","-134","-"
"Sweden","2871","2666","-205","-"
"Switzerland","5211","4983","-228","-"
"Taiwan","27652","27202","-450","-"
"Thailand","3020","2604","-416","-"
"Turkey","2488","2474","-14","-"
"United Kingdom","11974","10751","-1223","-"
"United States","31676","30021","-1655","-"
