"","0319-0325","0326-0401","dif","sign"
"Australia","8454","6931","-1523","-"
"Austria","4735","3797","-938","-"
"Belgium","2665","2095","-570","-"
"Canada","8050","7393","-657","-"
"Czechia","2900","2372","-528","-"
"Denmark","2391","2085","-306","-"
"France","11983","9524","-2459","-"
"Germany","43977","34347","-9630","-"
"Greece","1002","882","-120","-"
"Hong Kong","12730","7863","-4867","-"
"Hungary","1710","1625","-85","-"
"India","3003","2503","-500","-"
"Iran","243","335","92","+"
"Israel","941","837","-104","-"
"Italy","23564","20957","-2607","-"
"Japan","17553","16349","-1204","-"
"Mexico","1681","1411","-270","-"
"Netherlands","8809","6955","-1854","-"
"Norway","1428","1159","-269","-"
"Poland","13479","9962","-3517","-"
"Portugal","2371","2030","-341","-"
"Romania","1166","1221","55","+"
"South Africa","786","840","54","+"
"South Korea","4572","3500","-1072","-"
"Spain","11763","8664","-3099","-"
"Sweden","3242","2871","-371","-"
"Switzerland","6331","5211","-1120","-"
"Taiwan","32887","27652","-5235","-"
"Thailand","3481","3020","-461","-"
"Turkey","2382","2488","106","+"
"United Kingdom","13768","11974","-1794","-"
"United States","36115","31676","-4439","-"
